Name,HOMFLY
9_14,(v^(-6)-2*v^(-4)+ v^(-2)+ 1)+ (-2*v^(-4)+ v^(-2)+ 1-v^2)*z^2+ (v^(-2)+ 1)*z^4
9_15,(-v^(-8)+ v^(-6)+ v^(-4)-v^(-2)+ 1)+ (2*v^(-6)-v^(-2)+ 1)*z^2+ (-v^(-4)-v^(-2))*z^4
9_16,(4*v^6-3*v^8)+ (8*v^6-2*v^10)*z^2+ (5*v^6+ 3*v^8-v^10)*z^4+ (v^6+ v^8)*z^6
9_17,(2*v^(-2)-3+ 2*v^2)+ (v^(-2)-6+ 5*v^2-2*v^4)*z^2+ (-2+ 4*v^2-v^4)*z^4+ v^2*z^6
9_18,(v^4+ v^6-v^10)+ (2*v^4+ 4*v^6+ v^8-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
9_19,(v^(-4)-v^(-2)+ v^2)+ (-2*v^(-2)+ v^2-v^4)*z^2+ (1+ v^2)*z^4
9_20,(2*v^2-2*v^4+ 2*v^6-v^8)+ (3*v^2-5*v^4+ 5*v^6-v^8)*z^2+ (v^2-4*v^4+ 2*v^6)*z^4-v^4*z^6
9_21,(-v^(-8)+ v^(-6)+ v^(-2))+ (2*v^(-6)+ 1)*z^2+ (-v^(-4)-v^(-2))*z^4
9_22,(2*v^(-2)-4+ 4*v^2-v^4)+ (v^(-2)-6+ 6*v^2-2*v^4)*z^2+ (-2+ 4*v^2-v^4)*z^4+ v^2*z^6
9_23,(v^4+ 2*v^6-2*v^8)+ (2*v^4+ 4*v^6-v^10)*z^2+ (v^4+ 2*v^6+ v^8)*z^4
9_24,(v^(-2)-3+ 5*v^2-2*v^4)+ (2*v^(-2)-6+ 6*v^2-v^4)*z^2+ (v^(-2)-4+ 2*v^2)*z^4-z^6
9_25,(1+ v^2-3*v^4+ 3*v^6-v^8)+ (1-4*v^4+ 3*v^6)*z^2+ (-v^2-2*v^4)*z^4
9_26,(v^(-6)-3*v^(-4)+ 3*v^(-2))+ (v^(-6)-5*v^(-4)+ 6*v^(-2)-2)*z^2+ (-2*v^(-4)+ 4*v^(-2)-1)*z^4+ (v^(-2))*z^6
9_27,(v^(-2)-2+ 3*v^2-v^4)+ (2*v^(-2)-6+ 5*v^2-v^4)*z^2+ (v^(-2)-4+ 2*v^2)*z^4-z^6
9_28,(-1+ 5*v^2-4*v^4+ v^6)+ (-2+ 7*v^2-5*v^4+ v^6)*z^2+ (-1+ 4*v^2-2*v^4)*z^4+ v^2*z^6
9_29,(-2*v^(-4)+ 5*v^(-2)-3+ v^2)+ (-2*v^(-4)+ 7*v^(-2)-5+ v^2)*z^2+ (-v^(-4)+ 4*v^(-2)-2)*z^4+ (v^(-2))*z^6
9_30,(-v^(-4)+ 4*v^(-2)-4+ 2*v^2)+ (-v^(-4)+ 5*v^(-2)-7+ 2*v^2)*z^2+ (2*v^(-2)-4+ v^2)*z^4-z^6
9_31,(-1+ 4*v^2-2*v^4)+ (-2+ 7*v^2-4*v^4+ v^6)*z^2+ (-1+ 4*v^2-2*v^4)*z^4+ v^2*z^6
9_32,(v^(-6)-2*v^(-4)+ v^(-2)+ 1)+ (v^(-6)-4*v^(-4)+ 3*v^(-2)-1)*z^2+ (-2*v^(-4)+ 3*v^(-2)-1)*z^4+ (v^(-2))*z^6
9_33,(-v^(-4)+ 2*v^(-2))+ (-v^(-4)+ 4*v^(-2)-3+ v^2)*z^2+ (2*v^(-2)-3+ v^2)*z^4-z^6
9_34,(v^(-2)-1+ v^2)+ (-v^(-4)+ 3*v^(-2)-4+ v^2)*z^2+ (2*v^(-2)-3+ v^2)*z^4-z^6
9_35,(3*v^6-v^8-v^10)+ (v^2+ 2*v^4+ 3*v^6+ v^8)*z^2
9_36,(-2*v^(-8)+ 4*v^(-6)-3*v^(-4)+ 2*v^(-2))+ (-v^(-8)+ 6*v^(-6)-5*v^(-4)+ 3*v^(-2))*z^2+ (2*v^(-6)-4*v^(-4)+ v^(-2))*z^4+ (-v^(-4))*z^6
9_37,(v^(-4)-2+ 2*v^2)+ (-2*v^(-2)-1+ v^2-v^4)*z^2+ (1+ v^2)*z^4
9_38,(4*v^6-3*v^8)+ (v^4+ 7*v^6-v^8-v^10)*z^2+ (v^4+ 3*v^6+ v^8)*z^4
9_39,(-v^(-8)+ 2*v^(-6)-2*v^(-4)+ 2*v^(-2))+ (3*v^(-6)-3*v^(-4)+ v^(-2)+ 1)*z^2+ (-2*v^(-4)-v^(-2))*z^4
9_40,(2-2*v^2+ v^4)+ (-2*v^4+ v^6)*z^2+ (-1+ 2*v^2-2*v^4)*z^4+ v^2*z^6
9_41,(v^(-6)-3*v^(-4)+ 3*v^(-2))+ (-3*v^(-4)+ 4*v^(-2)-v^2)*z^2+ (2*v^(-2)+ 1)*z^4
9_42,(2*v^(-2)-3+ 2*v^2)+ (v^(-2)-4+ v^2)*z^2-z^4
9_43,(3*v^2-4*v^4+ 3*v^6-v^8)+ (4*v^2-7*v^4+ 4*v^6)*z^2+ (v^2-5*v^4+ v^6)*z^4-v^4*z^6
9_44,(v^(-2)-2+ 3*v^2-v^4)+ (-2+ 3*v^2-v^4)*z^2+ v^2*z^4
9_45,(-v^(-8)+ 2*v^(-6)-2*v^(-4)+ 2*v^(-2))+ (2*v^(-6)-2*v^(-4)+ 2*v^(-2))*z^2+ (-v^(-4))*z^4
9_46,(v^(-6)-v^(-4)-v^(-2)+ 2)+ (-v^(-4)-v^(-2))*z^2
9_47,(1+ v^2-2*v^4+ v^6)+ (-2+ 4*v^2-3*v^4)*z^2+ (-1+ 4*v^2-v^4)*z^4+ v^2*z^6
9_48,(-2*v^(-6)+ 3*v^(-4))+ (3*v^(-4)-v^(-2)+ 1)*z^2+ (-v^(-2))*z^4
9_49,(4*v^6-3*v^8)+ (2*v^4+ 6*v^6-2*v^8)*z^2+ (v^4+ 2*v^6)*z^4
10_1,(v^(-2)-v^6+ v^8)+ (-1-v^2-v^4-v^6)*z^2
10_2,(4*v^4-4*v^6+ v^8)+ (10*v^4-14*v^6+ 6*v^8)*z^2+ (6*v^4-16*v^6+ 5*v^8)*z^4+ (v^4-7*v^6+ v^8)*z^6-v^6*z^8
10_3,(v^(-4)-v^2+ v^6)+ (-v^(-2)-2-2*v^2-v^4)*z^2
10_4,(v^(-4)-2*v^2+ 2*v^4)+ (v^(-4)-2*v^(-2)-2-3*v^2+ v^4)*z^2+ (-v^(-2)-1-v^2)*z^4
10_5,(-3*v^(-6)+ 5*v^(-4)-v^(-2))+ (-7*v^(-6)+ 17*v^(-4)-6*v^(-2))*z^2+ (-5*v^(-6)+ 17*v^(-4)-5*v^(-2))*z^4+ (-v^(-6)+ 7*v^(-4)-v^(-2))*z^6+ (v^(-4))*z^8
10_6,(3*v^2-2*v^4-v^6+ v^8)+ (4*v^2-4*v^4-4*v^6+ 3*v^8)*z^2+ (v^2-4*v^4-4*v^6+ v^8)*z^4+ (-v^4-v^6)*z^6
10_7,(1+ v^4-2*v^6+ v^8)+ (1-v^2-2*v^6+ v^8)*z^2+ (-v^2-v^4-v^6)*z^4
10_8,(3-3*v^2+ v^6)+ (4-7*v^2-3*v^4+ 3*v^6)*z^2+ (1-5*v^2-4*v^4+ v^6)*z^4+ (-v^2-v^4)*z^6
10_9,(3-4*v^2+ 2*v^4)+ (7-16*v^2+ 7*v^4)*z^2+ (5-17*v^2+ 5*v^4)*z^4+ (1-7*v^2+ v^4)*z^6-v^2*z^8
10_10,(-v^(-6)+ 2*v^(-4)-v^(-2)+ 1)+ (-v^(-6)+ 2*v^(-4)+ 1-v^2)*z^2+ (v^(-4)+ v^(-2)+ 1)*z^4
10_11,(2*v^(-2)-1-v^2+ v^6)+ (v^(-2)-2-4*v^2-v^4+ v^6)*z^2+ (-1-2*v^2-v^4)*z^4
10_12,(-2*v^(-6)+ 2*v^(-4)+ 2*v^(-2)-1)+ (-3*v^(-6)+ 5*v^(-4)+ 5*v^(-2)-3)*z^2+ (-v^(-6)+ 4*v^(-4)+ 4*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
10_13,(v^(-4)-1+ v^2-v^4+ v^6)+ (-2*v^(-2)-1-2*v^4)*z^2+ (1+ v^2)*z^4
