0_1 | 1
9_7 | v^8*z^4 + v^6*z^4 + v^4*z^4 + -1*v^10*z^2 + 2*v^8*z^2 + v^6*z^2 + 3*v^4*z^2 + -1*v^10 + v^8 + -1*v^6 + 2*v^4
9_8, 12n_65 | -1*v^2*z^4 + -1*z^4 + 2*v^4*z^2 + -1*v^2*z^2 + -2*z^2 + v^-2*z^2 + -1*v^6 + 2*v^4 + -1 + v^-2
9_9 | v^8*z^6 + v^6*z^6 + -1*v^10*z^4 + 4*v^8*z^4 + 5*v^6*z^4 + -3*v^10*z^2 + 4*v^8*z^2 + 7*v^6*z^2 + -2*v^10 + v^8 + 2*v^6
9_10 | v^8*z^4 + 2*v^6*z^4 + v^4*z^4 + -1*v^10*z^2 + 2*v^8*z^2 + 5*v^6*z^2 + 2*v^4*z^2 + -2*v^10 + v^8 + 2*v^6
9_11, 13n_3125 | -1*v^-4*z^6 + v^-2*z^4 + -4*v^-4*z^4 + 2*v^-6*z^4 + 3*v^-2*z^2 + -4*v^-4*z^2 + 6*v^-6*z^2 + -1*v^-8*z^2 + v^-2 + -1*v^-4 + 3*v^-6 + -2*v^-8
9_12 | -1*v^4*z^4 + -1*v^2*z^4 + 2*v^6*z^2 + -1*v^4*z^2 + -1*v^2*z^2 + z^2 + -1*v^8 + 2*v^6 + -1*v^4 + 1
9_13 | v^8*z^4 + 2*v^6*z^4 + v^4*z^4 + -1*v^10*z^2 + v^8*z^2 + 5*v^6*z^2 + 2*v^4*z^2 + -1*v^10 + -1*v^8 + 3*v^6
9_14 | z^4 + v^-2*z^4 + -1*v^2*z^2 + z^2 + v^-2*z^2 + -2*v^-4*z^2 + 1 + v^-2 + -2*v^-4 + v^-6
9_15 | -1*v^-2*z^4 + -1*v^-4*z^4 + z^2 + -1*v^-2*z^2 + 2*v^-6*z^2 + 1 + -1*v^-2 + v^-4 + v^-6 + -1*v^-8
9_16 | v^8*z^6 + v^6*z^6 + -1*v^10*z^4 + 3*v^8*z^4 + 5*v^6*z^4 + -2*v^10*z^2 + 8*v^6*z^2 + -3*v^8 + 4*v^6
9_17 | v^2*z^6 + -1*v^4*z^4 + 4*v^2*z^4 + -2*z^4 + -2*v^4*z^2 + 5*v^2*z^2 + -6*z^2 + v^-2*z^2 + 2*v^2 + -3 + 2*v^-2
9_18 | v^8*z^4 + 2*v^6*z^4 + v^4*z^4 + -1*v^10*z^2 + v^8*z^2 + 4*v^6*z^2 + 2*v^4*z^2 + -1*v^10 + v^6 + v^4
9_19, 13n_2328 | v^2*z^4 + z^4 + -1*v^4*z^2 + v^2*z^2 + -2*v^-2*z^2 + v^2 + -1*v^-2 + v^-4
9_20 | -1*v^4*z^6 + 2*v^6*z^4 + -4*v^4*z^4 + v^2*z^4 + -1*v^8*z^2 + 5*v^6*z^2 + -5*v^4*z^2 + 3*v^2*z^2 + -1*v^8 + 2*v^6 + -2*v^4 + 2*v^2
9_21 | -1*v^-2*z^4 + -1*v^-4*z^4 + z^2 + 2*v^-6*z^2 + v^-2 + v^-6 + -1*v^-8
9_22 | v^2*z^6 + -1*v^4*z^4 + 4*v^2*z^4 + -2*z^4 + -2*v^4*z^2 + 6*v^2*z^2 + -6*z^2 + v^-2*z^2 + -1*v^4 + 4*v^2 + -4 + 2*v^-2
9_23 | v^8*z^4 + 2*v^6*z^4 + v^4*z^4 + -1*v^10*z^2 + 4*v^6*z^2 + 2*v^4*z^2 + -2*v^8 + 2*v^6 + v^4
9_24 | -1*z^6 + 2*v^2*z^4 + -4*z^4 + v^-2*z^4 + -1*v^4*z^2 + 6*v^2*z^2 + -6*z^2 + 2*v^-2*z^2 + -2*v^4 + 5*v^2 + -3 + v^-2
9_25 | -2*v^4*z^4 + -1*v^2*z^4 + 3*v^6*z^2 + -4*v^4*z^2 + z^2 + -1*v^8 + 3*v^6 + -3*v^4 + v^2 + 1
9_26, 13n_1847 | v^-2*z^6 + -1*z^4 + 4*v^-2*z^4 + -2*v^-4*z^4 + -2*z^2 + 6*v^-2*z^2 + -5*v^-4*z^2 + v^-6*z^2 + 3*v^-2 + -3*v^-4 + v^-6
