0_1 | 1
13a_617 | v^-4*z^8 + v^-6*z^8 + -1*v^-2*z^6 + 3*v^-4*z^6 + 3*v^-6*z^6 + -2*v^-8*z^6 + -2*v^-2*z^4 + 2*v^-4*z^4 + 2*v^-6*z^4 + -7*v^-8*z^4 + v^-10*z^4 + v^-2*z^2 + 2*v^-4*z^2 + v^-6*z^2 + -6*v^-8*z^2 + 3*v^-10*z^2 + v^-2 + v^-4 + -2*v^-8 + v^-10
13a_618 | v^-4*z^8 + v^-6*z^8 + -1*v^-2*z^6 + 3*v^-4*z^6 + 2*v^-6*z^6 + -2*v^-8*z^6 + -2*v^-2*z^4 + 3*v^-4*z^4 + -5*v^-8*z^4 + v^-10*z^4 + v^-2*z^2 + v^-4*z^2 + -4*v^-8*z^2 + 2*v^-10*z^2 + 2*v^-2 + -1*v^-4 + v^-6 + -2*v^-8 + v^-10
13a_619 | v^-2*z^6 + 2*v^-4*z^6 + v^-6*z^6 + -1*z^4 + v^-4*z^4 + -1*v^-6*z^4 + -2*v^-8*z^4 + 2*v^-2*z^2 + -1*v^-4*z^2 + -2*v^-8*z^2 + v^-10*z^2 + 2*v^-2 + -1*v^-4 + v^-6 + -2*v^-8 + v^-10
13a_620 | v^-2*z^6 + v^-4*z^6 + v^-6*z^6 + -1*z^4 + v^-2*z^4 + -1*v^-4*z^4 + v^-6*z^4 + -2*v^-8*z^4 + v^-2*z^2 + -2*v^-4*z^2 + 2*v^-6*z^2 + -3*v^-8*z^2 + v^-10*z^2 + 1 + v^-6 + -2*v^-8 + v^-10
13a_622 | -2*v^8*z^8 + -1*v^6*z^8 + 3*v^10*z^6 + -10*v^8*z^6 + -2*v^6*z^6 + v^4*z^6 + -1*v^12*z^4 + 12*v^10*z^4 + -22*v^8*z^4 + 4*v^6*z^4 + 3*v^4*z^4 + -3*v^12*z^2 + 17*v^10*z^2 + -27*v^8*z^2 + 12*v^6*z^2 + 3*v^4*z^2 + -2*v^12 + 9*v^10 + -14*v^8 + 7*v^6 + v^4
13a_623, 13a_629 | 2*v^6*z^8 + v^4*z^8 + -3*v^8*z^6 + 8*v^6*z^6 + 2*v^4*z^6 + -1*v^2*z^6 + v^10*z^4 + -9*v^8*z^4 + 14*v^6*z^4 + v^4*z^4 + -2*v^2*z^4 + 2*v^10*z^2 + -10*v^8*z^2 + 12*v^6*z^2 + v^4*z^2 + -1*v^2*z^2 + v^10 + -4*v^8 + 3*v^6 + v^4
13a_624 | -1*v^-4*z^10 + 2*v^-2*z^8 + -8*v^-4*z^8 + v^-6*z^8 + -1*z^6 + 14*v^-2*z^6 + -24*v^-4*z^6 + 6*v^-6*z^6 + -6*z^4 + 33*v^-2*z^4 + -35*v^-4*z^4 + 11*v^-6*z^4 + -10*z^2 + 32*v^-2*z^2 + -25*v^-4*z^2 + 7*v^-6*z^2 + -4 + 11*v^-2 + -7*v^-4 + v^-6
13a_625 | -1*v^-2*z^8 + -1*v^-4*z^8 + 2*z^6 + -3*v^-2*z^6 + -5*v^-4*z^6 + v^-6*z^6 + -1*v^2*z^4 + 7*z^4 + v^-2*z^4 + -10*v^-4*z^4 + 4*v^-6*z^4 + -3*v^2*z^2 + 5*z^2 + 8*v^-2*z^2 + -11*v^-4*z^2 + 4*v^-6*z^2 + -1*v^2 + 6*v^-2 + -5*v^-4 + v^-6
13a_626 | -1*v^-2*z^8 + -1*v^-4*z^8 + 2*z^6 + -3*v^-2*z^6 + -4*v^-4*z^6 + v^-6*z^6 + -1*v^2*z^4 + 7*z^4 + -2*v^-2*z^4 + -7*v^-4*z^4 + 3*v^-6*z^4 + -3*v^2*z^2 + 8*z^2 + v^-2*z^2 + -7*v^-4*z^2 + 3*v^-6*z^2 + -2*v^2 + 4 + v^-2 + -3*v^-4 + v^-6
13a_627 | -1*z^6 + -2*v^-2*z^6 + -1*v^-4*z^6 + 2*v^2*z^4 + 2*z^4 + -3*v^-2*z^4 + -2*v^-4*z^4 + v^-6*z^4 + -1*v^4*z^2 + 6*z^2 + -1*v^-2*z^2 + -4*v^-4*z^2 + 2*v^-6*z^2 + -2*v^2 + 4 + v^-2 + -3*v^-4 + v^-6
13a_628 | -1*z^6 + -1*v^-2*z^6 + -1*v^-4*z^6 + 2*v^2*z^4 + -1*z^4 + -3*v^-4*z^4 + v^-6*z^4 + -1*v^4*z^2 + 3*v^2*z^2 + -1*z^2 + 3*v^-2*z^2 + -5*v^-4*z^2 + 2*v^-6*z^2 + -1*v^4 + 2*v^2 + -1 + 3*v^-2 + -3*v^-4 + v^-6
13a_630 | -2*v^4*z^8 + -1*v^2*z^8 + 3*v^6*z^6 + -6*v^4*z^6 + -2*v^2*z^6 + z^6 + -1*v^8*z^4 + 6*v^6*z^4 + -3*v^4*z^4 + -2*v^2*z^4 + 2*z^4 + -1*v^8*z^2 + -1*v^6*z^2 + 8*v^4*z^2 + -3*v^2*z^2 + z^2 + v^8 + -6*v^6 + 8*v^4 + -2*v^2
13a_631, 13a_636, 13a_2616 | -1*v^-4*z^10 + 2*v^-2*z^8 + -8*v^-4*z^8 + v^-6*z^8 + -1*z^6 + 14*v^-2*z^6 + -26*v^-4*z^6 + 6*v^-6*z^6 + -6*z^4 + 36*v^-2*z^4 + -45*v^-4*z^4 + 13*v^-6*z^4 + -11*z^2 + 42*v^-2*z^2 + -42*v^-4*z^2 + 13*v^-6*z^2 + -6 + 19*v^-2 + -17*v^-4 + 5*v^-6
13a_632, 13a_637, 13a_2617 | -1*v^-2*z^8 + -1*v^-4*z^8 + 2*z^6 + -3*v^-2*z^6 + -5*v^-4*z^6 + v^-6*z^6 + -1*v^2*z^4 + 7*z^4 + -1*v^-2*z^4 + -12*v^-4*z^4 + 4*v^-6*z^4 + -3*v^2*z^2 + 8*z^2 + 5*v^-2*z^2 + -15*v^-4*z^2 + 6*v^-6*z^2 + -2*v^2 + 3 + 5*v^-2 + -8*v^-4 + 3*v^-6
13a_633 | -1*v^-2*z^8 + -1*v^-4*z^8 + 2*z^6 + -5*v^-2*z^6 + -5*v^-4*z^6 + v^-6*z^6 + -1*v^2*z^4 + 10*z^4 + -9*v^-2*z^4 + -8*v^-4*z^4 + 4*v^-6*z^4 + -4*v^2*z^2 + 15*z^2 + -9*v^-2*z^2 + -5*v^-4*z^2 + 4*v^-6*z^2 + -3*v^2 + 8 + -4*v^-2 + -1*v^-4 + v^-6
13a_634 | -1*z^6 + -2*v^-2*z^6 + -1*v^-4*z^6 + 2*v^2*z^4 + -5*v^-2*z^4 + -2*v^-4*z^4 + v^-6*z^4 + -1*v^4*z^2 + 3*v^2*z^2 + 3*z^2 + -5*v^-2*z^2 + -2*v^-4*z^2 + 2*v^-6*z^2 + -1*v^4 + v^2 + 3 + -2*v^-2 + -1*v^-4 + v^-6
13a_635 | -1*v^-2*z^8 + -1*v^-4*z^8 + 2*z^6 + -1*v^-2*z^6 + -4*v^-4*z^6 + v^-6*z^6 + -1*v^2*z^4 + 4*z^4 + 6*v^-2*z^4 + -11*v^-4*z^4 + 3*v^-6*z^4 + -2*v^2*z^2 + z^2 + 15*v^-2*z^2 + -17*v^-4*z^2 + 5*v^-6*z^2 + -1*v^2 + -1 + 10*v^-2 + -10*v^-4 + 3*v^-6
13a_638, 13a_2618 | -1*v^-2*z^8 + -1*v^-4*z^8 + 2*z^6 + -5*v^-2*z^6 + -4*v^-4*z^6 + v^-6*z^6 + -1*v^2*z^4 + 10*z^4 + -12*v^-2*z^4 + -5*v^-4*z^4 + 3*v^-6*z^4 + -4*v^2*z^2 + 18*z^2 + -16*v^-2*z^2 + -1*v^-4*z^2 + 3*v^-6*z^2 + -4*v^2 + 12 + -9*v^-2 + v^-4 + v^-6
13a_639 | -1*z^6 + -1*v^-2*z^6 + -1*v^-4*z^6 + 2*v^2*z^4 + -3*z^4 + -2*v^-2*z^4 + -3*v^-4*z^4 + v^-6*z^4 + -1*v^4*z^2 + 6*v^2*z^2 + -4*z^2 + -1*v^-2*z^2 + -3*v^-4*z^2 + 2*v^-6*z^2 + -2*v^4 + 5*v^2 + -2 + -1*v^-4 + v^-6
13a_640 | -1*v^2*z^4 + -1*z^4 + -1*v^-2*z^4 + -1*v^-4*z^4 + 2*v^4*z^2 + -1*v^2*z^2 + -1*z^2 + -1*v^-2*z^2 + -2*v^-4*z^2 + v^-6*z^2 + -1*v^6 + 2*v^4 + -1*v^-4 + v^-6
13a_641 | -1*v^-2*z^8 + 3*z^6 + -4*v^-2*z^6 + 2*v^-4*z^6 + -3*v^2*z^4 + 10*z^4 + -8*v^-2*z^4 + 6*v^-4*z^4 + -1*v^-6*z^4 + v^4*z^2 + -8*v^2*z^2 + 10*z^2 + -10*v^-2*z^2 + 5*v^-4*z^2 + -2*v^-6*z^2 + 2*v^4 + -4*v^2 + 5 + -4*v^-2 + 2*v^-4
13a_642 | -1*v^2*z^8 + 3*v^4*z^6 + -4*v^2*z^6 + 2*z^6 + -3*v^6*z^4 + 9*v^4*z^4 + -9*v^2*z^4 + 6*z^4 + -1*v^-2*z^4 + v^8*z^2 + -6*v^6*z^2 + 10*v^4*z^2 + -11*v^2*z^2 + 6*z^2 + -2*v^-2*z^2 + v^8 + -3*v^6 + 5*v^4 + -5*v^2 + 3
13a_643 | -2*v^8*z^8 + -1*v^6*z^8 + 3*v^10*z^6 + -12*v^8*z^6 + -4*v^6*z^6 + v^4*z^6 + -1*v^12*z^4 + 15*v^10*z^4 + -24*v^8*z^4 + -1*v^6*z^4 + 5*v^4*z^4 + -4*v^12*z^2 + 20*v^10*z^2 + -21*v^8*z^2 + 6*v^6*z^2 + 6*v^4*z^2 + -3*v^12 + 7*v^10 + -7*v^8 + 3*v^6 + v^4
13a_644 | -2*v^8*z^6 + -3*v^6*z^6 + -1*v^4*z^6 + 3*v^10*z^4 + -5*v^8*z^4 + -8*v^6*z^4 + v^2*z^4 + -1*v^12*z^2 + 8*v^10*z^2 + -4*v^8*z^2 + -4*v^6*z^2 + 5*v^4*z^2 + 2*v^2*z^2 + -2*v^12 + 4*v^10 + -3*v^8 + 2*v^4
13a_645 | -2*v^8*z^6 + -3*v^6*z^6 + -1*v^4*z^6 + 3*v^10*z^4 + -3*v^8*z^4 + -8*v^6*z^4 + v^2*z^4 + -1*v^12*z^2 + 5*v^10*z^2 + v^8*z^2 + -7*v^6*z^2 + 5*v^4*z^2 + 2*v^2*z^2 + -1*v^12 + v^10 + v^8 + -3*v^6 + 3*v^4
13a_646 | -1*v^-8*z^10 + v^-6*z^8 + -8*v^-8*z^8 + 2*v^-10*z^8 + 7*v^-6*z^6 + -23*v^-8*z^6 + 14*v^-10*z^6 + -1*v^-12*z^6 + 16*v^-6*z^4 + -31*v^-8*z^4 + 32*v^-10*z^4 + -6*v^-12*z^4 + 14*v^-6*z^2 + -22*v^-8*z^2 + 28*v^-10*z^2 + -10*v^-12*z^2 + 4*v^-6 + -7*v^-8 + 8*v^-10 + -4*v^-12
13a_647 | -1*v^-6*z^8 + -1*v^-8*z^8 + v^-4*z^6 + -4*v^-6*z^6 + -4*v^-8*z^6 + 2*v^-10*z^6 + 4*v^-4*z^4 + -3*v^-6*z^4 + -4*v^-8*z^4 + 9*v^-10*z^4 + -1*v^-12*z^4 + 4*v^-4*z^2 + v^-6*z^2 + -3*v^-8*z^2 + 11*v^-10*z^2 + -4*v^-12*z^2 + v^-4 + v^-6 + -3*v^-8 + 5*v^-10 + -3*v^-12
13a_648 | -1*v^-6*z^8 + -1*v^-8*z^8 + v^-4*z^6 + -4*v^-6*z^6 + -3*v^-8*z^6 + 2*v^-10*z^6 + 4*v^-4*z^4 + -5*v^-6*z^4 + -1*v^-8*z^4 + 7*v^-10*z^4 + -1*v^-12*z^4 + 5*v^-4*z^2 + -3*v^-6*z^2 + 2*v^-8*z^2 + 7*v^-10*z^2 + -3*v^-12*z^2 + 2*v^-4 + -2*v^-6 + v^-8 + 2*v^-10 + -2*v^-12
13a_649 | z^8 + -3*v^2*z^6 + 4*z^6 + -2*v^-2*z^6 + 3*v^4*z^4 + -9*v^2*z^4 + 9*z^4 + -6*v^-2*z^4 + v^-4*z^4 + -1*v^6*z^2 + 6*v^4*z^2 + -11*v^2*z^2 + 9*z^2 + -7*v^-2*z^2 + 2*v^-4*z^2 + -1*v^6 + 4*v^4 + -5*v^2 + 4 + -2*v^-2 + v^-4
13a_650 | -1*v^-4*z^6 + -2*v^-6*z^6 + -1*v^-8*z^6 + v^-2*z^4 + -3*v^-6*z^4 + 2*v^-10*z^4 + v^-2*z^2 + 3*v^-4*z^2 + -1*v^-6*z^2 + 2*v^-8*z^2 + 4*v^-10*z^2 + -1*v^-12*z^2 + 2*v^-4 + -2*v^-6 + v^-8 + 2*v^-10 + -2*v^-12
13a_651, 13a_1975 | -1*v^2*z^6 + -1*z^6 + 3*v^4*z^4 + 2*v^-2*z^4 + -3*v^6*z^2 + 3*v^4*z^2 + -2*v^2*z^2 + -1*z^2 + v^-2*z^2 + -1*v^-4*z^2 + v^8 + -2*v^6 + 2*v^4 + -1*v^2 + v^-2
13a_652 | -2*v^8*z^4 + -3*v^6*z^4 + -3*v^4*z^4 + -1*v^2*z^4 + 3*v^10*z^2 + -1*v^8*z^2 + -1*v^4*z^2 + 2*v^2*z^2 + z^2 + -1*v^12 + 2*v^10 + -2*v^8 + v^6 + v^2
13a_653 | -1*v^-4*z^6 + -1*v^-6*z^6 + -1*v^-8*z^6 + v^-2*z^4 + -2*v^-4*z^4 + -2*v^-8*z^4 + 2*v^-10*z^4 + 2*v^-2*z^2 + -1*v^-4*z^2 + 4*v^-6*z^2 + -2*v^-8*z^2 + 5*v^-10*z^2 + -1*v^-12*z^2 + v^-2 + -1*v^-4 + 2*v^-6 + -2*v^-8 + 3*v^-10 + -2*v^-12
13a_654, 13a_662 | 3*v^4*z^6 + v^2*z^6 + -6*v^6*z^4 + 6*v^4*z^4 + -4*v^2*z^4 + -2*z^4 + 4*v^8*z^2 + -8*v^6*z^2 + 9*v^4*z^2 + -7*v^2*z^2 + z^2 + v^-2*z^2 + -1*v^10 + 3*v^8 + -4*v^6 + 4*v^4 + -3*v^2 + 2
13a_655 | -1*z^6 + -1*v^-2*z^6 + 3*v^2*z^4 + 2*z^4 + 2*v^-4*z^4 + -3*v^4*z^2 + 2*z^2 + -4*v^-2*z^2 + v^-4*z^2 + -1*v^-6*z^2 + v^6 + -1*v^4 + 2 + -3*v^-2 + 2*v^-4
13a_656 | -2*v^8*z^4 + -5*v^6*z^4 + -3*v^4*z^4 + -1*v^2*z^4 + 3*v^10*z^2 + 2*v^8*z^2 + -5*v^6*z^2 + 2*v^4*z^2 + 2*v^2*z^2 + z^2 + -1*v^12 + v^10 + v^8 + -3*v^6 + 3*v^4
13a_658 | v^4*z^8 + -3*v^6*z^6 + 4*v^4*z^6 + -2*v^2*z^6 + 3*v^8*z^4 + -11*v^6*z^4 + 6*v^4*z^4 + -7*v^2*z^4 + z^4 + -1*v^10*z^2 + 9*v^8*z^2 + -11*v^6*z^2 + 7*v^4*z^2 + -5*v^2*z^2 + 3*z^2 + -2*v^10 + 5*v^8 + -5*v^6 + 3*v^4 + -1*v^2 + 1
13a_659, 13a_4342 | v^4*z^6 + v^2*z^6 + -3*v^6*z^4 + -1*v^4*z^4 + -1*v^2*z^4 + -2*z^4 + 3*v^8*z^2 + -2*v^6*z^2 + -1*v^2*z^2 + v^-2*z^2 + -1*v^10 + 2*v^8 + -1*v^6 + 1
13a_660 | -1*v^-6*z^8 + -1*v^-8*z^8 + v^-4*z^6 + -5*v^-6*z^6 + -3*v^-8*z^6 + 2*v^-10*z^6 + 5*v^-4*z^4 + -9*v^-6*z^4 + 2*v^-8*z^4 + 7*v^-10*z^4 + -1*v^-12*z^4 + 7*v^-4*z^2 + -10*v^-6*z^2 + 9*v^-8*z^2 + 4*v^-10*z^2 + -3*v^-12*z^2 + 3*v^-4 + -5*v^-6 + 5*v^-8 + -1*v^-10 + -1*v^-12
13a_661 | -1*v^-4*z^6 + -2*v^-6*z^6 + -1*v^-8*z^6 + v^-2*z^4 + -1*v^-4*z^4 + -3*v^-6*z^4 + v^-8*z^4 + 2*v^-10*z^4 + 2*v^-2*z^2 + -1*v^-6*z^2 + 4*v^-8*z^2 + 2*v^-10*z^2 + -1*v^-12*z^2 + v^-2 + -1*v^-6 + 2*v^-8 + -1*v^-12
13a_663 | -3*v^2*z^6 + -1*z^6 + 6*v^4*z^4 + -7*v^2*z^4 + 3*z^4 + 2*v^-2*z^4 + -4*v^6*z^2 + 9*v^4*z^2 + -11*v^2*z^2 + 5*z^2 + -1*v^-4*z^2 + v^8 + -3*v^6 + 5*v^4 + -5*v^2 + 3
13a_665, 13a_2620 | -1*v^-6*z^8 + -1*v^-8*z^8 + v^-4*z^6 + -5*v^-6*z^6 + -2*v^-8*z^6 + 2*v^-10*z^6 + 5*v^-4*z^4 + -11*v^-6*z^4 + 5*v^-8*z^4 + 5*v^-10*z^4 + -1*v^-12*z^4 + 8*v^-4*z^2 + -14*v^-6*z^2 + 14*v^-8*z^2 + -2*v^-12*z^2 + 4*v^-4 + -8*v^-6 + 9*v^-8 + -4*v^-10
13a_666 | -1*v^-4*z^6 + -1*v^-6*z^6 + -1*v^-8*z^6 + v^-2*z^4 + -3*v^-4*z^4 + -1*v^-8*z^4 + 2*v^-10*z^4 + 3*v^-2*z^2 + -4*v^-4*z^2 + 4*v^-6*z^2 + 3*v^-10*z^2 + -1*v^-12*z^2 + 2*v^-2 + -3*v^-4 + 3*v^-6 + -1*v^-8 + v^-10 + -1*v^-12
13a_667 | -1*v^-2*z^4 + -1*v^-4*z^4 + -1*v^-6*z^4 + -1*v^-8*z^4 + z^2 + -1*v^-2*z^2 + v^-4*z^2 + v^-6*z^2 + 2*v^-10*z^2 + 1 + -1*v^-2 + v^-4 + v^-10 + -1*v^-12
13a_668, 13a_690 | v^6*z^8 + v^4*z^8 + -1*v^8*z^6 + 2*v^6*z^6 + 2*v^4*z^6 + -2*v^2*z^6 + -1*v^8*z^4 + -1*v^6*z^4 + -6*v^2*z^4 + z^4 + 3*v^8*z^2 + -2*v^6*z^2 + v^4*z^2 + -5*v^2*z^2 + 3*z^2 + -1*v^10 + 2*v^8 + -1*v^6 + v^4 + -2*v^2 + 2
13a_669 | v^6*z^6 + v^4*z^6 + v^2*z^6 + -1*v^8*z^4 + v^6*z^4 + -3*v^4*z^4 + -2*z^4 + 4*v^6*z^2 + -6*v^4*z^2 + 2*v^2*z^2 + -2*z^2 + v^-2*z^2 + -1*v^8 + 3*v^6 + -3*v^4 + 2*v^2 + -1 + v^-2
13a_670 | -1*v^-4*z^10 + v^-2*z^8 + -7*v^-4*z^8 + 2*v^-6*z^8 + 5*v^-2*z^6 + -18*v^-4*z^6 + 12*v^-6*z^6 + -1*v^-8*z^6 + 7*v^-2*z^4 + -22*v^-4*z^4 + 24*v^-6*z^4 + -5*v^-8*z^4 + 4*v^-2*z^2 + -13*v^-4*z^2 + 20*v^-6*z^2 + -7*v^-8*z^2 + 2*v^-2 + -4*v^-4 + 6*v^-6 + -3*v^-8
13a_671 | -1*v^-2*z^8 + -1*v^-4*z^8 + z^6 + -3*v^-2*z^6 + -3*v^-4*z^6 + 2*v^-6*z^6 + 2*z^4 + -3*v^-2*z^4 + -3*v^-4*z^4 + 7*v^-6*z^4 + -1*v^-8*z^4 + z^2 + -2*v^-2*z^2 + -1*v^-4*z^2 + 8*v^-6*z^2 + -3*v^-8*z^2 + 1 + -1*v^-2 + 3*v^-6 + -2*v^-8
13a_672 | -1*v^-2*z^8 + -1*v^-4*z^8 + z^6 + -4*v^-2*z^6 + -2*v^-4*z^6 + 2*v^-6*z^6 + 3*z^4 + -8*v^-2*z^4 + 2*v^-4*z^4 + 5*v^-6*z^4 + -1*v^-8*z^4 + 3*z^2 + -9*v^-2*z^2 + 7*v^-4*z^2 + 3*v^-6*z^2 + -2*v^-8*z^2 + 2 + -4*v^-2 + 4*v^-4 + -1*v^-8
13a_673 | -1*z^6 + -1*v^-2*z^6 + -1*v^-4*z^6 + v^2*z^4 + -2*z^4 + -1*v^-4*z^4 + 2*v^-6*z^4 + v^2*z^2 + -3*z^2 + v^-2*z^2 + 3*v^-6*z^2 + -1*v^-8*z^2 + v^2 + -1 + v^-4 + v^-6 + -1*v^-8
13a_674 | -1*z^10 + v^2*z^8 + -7*z^8 + 2*v^-2*z^8 + 5*v^2*z^6 + -18*z^6 + 12*v^-2*z^6 + -1*v^-4*z^6 + 7*v^2*z^4 + -21*z^4 + 24*v^-2*z^4 + -5*v^-4*z^4 + 2*v^2*z^2 + -11*z^2 + 18*v^-2*z^2 + -7*v^-4*z^2 + -1 + 4*v^-2 + -2*v^-4
13a_675 | -1*z^8 + -1*v^-2*z^8 + v^2*z^6 + -4*z^6 + -2*v^-2*z^6 + 2*v^-4*z^6 + 3*v^2*z^4 + -7*z^4 + 3*v^-2*z^4 + 5*v^-4*z^4 + -1*v^-6*z^4 + 2*v^2*z^2 + -8*z^2 + 8*v^-2*z^2 + v^-4*z^2 + -2*v^-6*z^2 + v^2 + -3 + 5*v^-2 + -2*v^-4
13a_676 | -1*v^2*z^8 + -1*z^8 + v^4*z^6 + -4*v^2*z^6 + -3*z^6 + 2*v^-2*z^6 + 3*v^4*z^4 + -6*v^2*z^4 + 7*v^-2*z^4 + -1*v^-4*z^4 + 2*v^4*z^2 + -7*v^2*z^2 + 4*z^2 + 5*v^-2*z^2 + -3*v^-4*z^2 + v^4 + -3*v^2 + 3 + v^-2 + -1*v^-4
13a_677 | -1*v^2*z^6 + -2*z^6 + -1*v^-2*z^6 + v^4*z^4 + -1*v^2*z^4 + -2*z^4 + 2*v^-2*z^4 + 2*v^-4*z^4 + v^4*z^2 + -3*v^2*z^2 + -1*z^2 + 4*v^-2*z^2 + -1*v^-6*z^2 + v^4 + -2*v^2 + 1 + 2*v^-2 + -1*v^-4
13a_678 | -1*v^4*z^10 + v^6*z^8 + -7*v^4*z^8 + 2*v^2*z^8 + 5*v^6*z^6 + -17*v^4*z^6 + 12*v^2*z^6 + -1*z^6 + 6*v^6*z^4 + -17*v^4*z^4 + 22*v^2*z^4 + -5*z^4 + -4*v^4*z^2 + 14*v^2*z^2 + -6*z^2 + -2*v^6 + 2*v^4 + 2*v^2 + -1
13a_679 | -1*v^4*z^8 + -1*v^2*z^8 + v^6*z^6 + -4*v^4*z^6 + -2*v^2*z^6 + 2*z^6 + 3*v^6*z^4 + -6*v^4*z^4 + 3*v^2*z^4 + 5*z^4 + -1*v^-2*z^4 + v^6*z^2 + -4*v^4*z^2 + 7*v^2*z^2 + z^2 + -2*v^-2*z^2 + -1*v^6 + 3*v^2 + -1
13a_680, 13a_2330 | -1*v^4*z^8 + -1*v^2*z^8 + v^6*z^6 + -3*v^4*z^6 + -2*v^2*z^6 + 2*z^6 + 2*v^6*z^4 + -4*v^4*z^4 + v^2*z^4 + 5*z^4 + -1*v^-2*z^4 + v^6*z^2 + -4*v^4*z^2 + 5*v^2*z^2 + 2*z^2 + -2*v^-2*z^2 + -2*v^4 + 4*v^2 + -1
13a_681 | -1*v^4*z^6 + -2*v^2*z^6 + -1*z^6 + v^6*z^4 + -1*v^4*z^4 + -1*v^2*z^4 + 2*z^4 + 2*v^-2*z^4 + v^6*z^2 + -3*v^4*z^2 + 3*v^2*z^2 + 2*z^2 + -1*v^-4*z^2 + -2*v^4 + 4*v^2 + -1
13a_682 | -1*v^4*z^6 + -1*v^2*z^6 + -1*z^6 + v^6*z^4 + -2*v^4*z^4 + v^2*z^4 + 2*v^-2*z^4 + v^6*z^2 + -3*v^4*z^2 + 3*v^2*z^2 + v^-2*z^2 + -1*v^-4*z^2 + -1*v^4 + 2*v^2
13a_683 | z^8 + -2*v^2*z^6 + 4*z^6 + -3*v^-2*z^6 + v^4*z^4 + -5*v^2*z^4 + 12*z^4 + -7*v^-2*z^4 + 3*v^-4*z^4 + v^4*z^2 + -9*v^2*z^2 + 12*z^2 + -10*v^-2*z^2 + 3*v^-4*z^2 + -1*v^-6*z^2 + 2*v^4 + -4*v^2 + 5 + -4*v^-2 + 2*v^-4
13a_684 | v^6*z^8 + v^4*z^8 + -1*v^8*z^6 + 3*v^6*z^6 + 2*v^4*z^6 + -2*v^2*z^6 + -2*v^8*z^4 + 3*v^6*z^4 + -3*v^4*z^4 + -6*v^2*z^4 + z^4 + 5*v^6*z^2 + -6*v^4*z^2 + -2*v^2*z^2 + 3*z^2 + -1*v^8 + 3*v^6 + -3*v^4 + v^2 + 1
13a_685 | v^6*z^6 + 2*v^4*z^6 + v^2*z^6 + -1*v^8*z^4 + v^4*z^4 + -3*v^2*z^4 + -2*z^4 + v^6*z^2 + v^4*z^2 + -5*v^2*z^2 + z^2 + v^-2*z^2 + v^4 + -2*v^2 + 2
13a_686 | v^6*z^6 + 3*v^4*z^6 + v^2*z^6 + -1*v^8*z^4 + -2*v^6*z^4 + 6*v^4*z^4 + -3*v^2*z^4 + -2*z^4 + v^8*z^2 + -5*v^6*z^2 + 8*v^4*z^2 + -7*v^2*z^2 + -1*z^2 + v^-2*z^2 + v^8 + -3*v^6 + 5*v^4 + -4*v^2 + 1 + v^-2
13a_687 | -1*v^2*z^8 + 2*v^4*z^6 + -4*v^2*z^6 + 3*z^6 + -1*v^6*z^4 + 5*v^4*z^4 + -11*v^2*z^4 + 8*z^4 + -3*v^-2*z^4 + -1*v^6*z^2 + 7*v^4*z^2 + -13*v^2*z^2 + 9*z^2 + -5*v^-2*z^2 + v^-4*z^2 + -1*v^6 + 4*v^4 + -5*v^2 + 4 + -2*v^-2 + v^-4
13a_688, 13a_1597 | v^2*z^8 + z^8 + -1*v^4*z^6 + 3*v^2*z^6 + 2*z^6 + -2*v^-2*z^6 + -2*v^4*z^4 + 3*v^2*z^4 + -5*v^-2*z^4 + v^-4*z^4 + -1*z^2 + -4*v^-2*z^2 + 2*v^-4*z^2 + v^4 + -1*v^2 + 1 + -1*v^-2 + v^-4
13a_689 | v^4*z^6 + 2*v^2*z^6 + z^6 + -1*v^6*z^4 + 3*v^2*z^4 + -1*z^4 + -2*v^-2*z^4 + -2*v^4*z^2 + 3*v^2*z^2 + -4*z^2 + -2*v^-2*z^2 + v^-4*z^2 + v^6 + -2*v^4 + 3*v^2 + -2 + v^-4
13a_691 | -1*v^4*z^8 + -1*v^2*z^8 + 2*v^6*z^6 + -2*v^4*z^6 + -4*v^2*z^6 + z^6 + -1*v^8*z^4 + 3*v^6*z^4 + v^4*z^4 + -8*v^2*z^4 + 3*z^4 + -2*v^6*z^2 + 7*v^4*z^2 + -7*v^2*z^2 + 3*z^2 + v^8 + -4*v^6 + 5*v^4 + -2*v^2 + 1
13a_692 | z^8 + v^-2*z^8 + -2*v^2*z^6 + 3*z^6 + 3*v^-2*z^6 + -1*v^-4*z^6 + v^4*z^4 + -5*v^2*z^4 + 7*z^4 + 3*v^-2*z^4 + -2*v^-4*z^4 + v^4*z^2 + -6*v^2*z^2 + 11*z^2 + -2*v^-2*z^2 + -1*v^-4*z^2 + -3*v^2 + 7 + -3*v^-2
13a_693 | -1*v^4*z^10 + 2*v^6*z^8 + -7*v^4*z^8 + v^2*z^8 + -1*v^8*z^6 + 10*v^6*z^6 + -19*v^4*z^6 + 5*v^2*z^6 + -3*v^8*z^4 + 15*v^6*z^4 + -23*v^4*z^4 + 8*v^2*z^4 + -1*v^8*z^2 + 5*v^6*z^2 + -8*v^4*z^2 + 5*v^2*z^2 + v^8 + -3*v^6 + 2*v^4 + v^2
